Award;Date of ceremony;Category;Recipients;Result;Ref.
Camerimage International Film Festival;11–18 November 2017;Best Directorial Debut;Janus Metz Pedersen;Won;[26]
Guldbagge Awards;22 January 2018;Best Film;Jon Nohrstedt and Fredrik Wikström Nicastro (Producers);Nominated;[27][28]
Guldbagge Awards;22 January 2018;Best Director;Janus Metz Pedersen;Nominated;[27][28]
Guldbagge Awards;22 January 2018;Best Actor;Sverrir Gudnason;Nominated;[27][28]
Guldbagge Awards;22 January 2018;Best Supporting Actor;Shia LaBeouf;Nominated;[27][28]
Guldbagge Awards;22 January 2018;Best Supporting Actor;Stellan Skarsgård;Won;[27][28]
Guldbagge Awards;22 January 2018;Best Editing;Per Sandholt and Per K Kirkegaard;Nominated;[27][28]
Guldbagge Awards;22 January 2018;Best Costume Design;Kicki Ilander;Nominated;[27][28]
Guldbagge Awards;22 January 2018;Best Original Score;Jonas Struck, Jon Ekstrand and Vladislav Delay;Nominated;[27][28]
Guldbagge Awards;22 January 2018;Best Art Direction;Lina Nordqvist;Nominated;[27][28]
Guldbagge Awards;22 January 2018;Best Visual Effects;Torbjörn Olsson and Alex Hansson;Won;[27][28]
Noordelijk Film Festival;12 November 2017;Public Prize;Borg McEnroe;Won;[29]
